lamba_id	gps_renk	kirmizi_isik	sari_isik	yesil_isik
1	yesil	60	3	60
1	sari	50	3	70
1	kirmizi	40	3	80
1	bordo	30	3	90
2	yesil	60	3	60
2	sari	50	3	70
2	kirmizi	40	3	80
2	bordo	30	3	90
3	yesil	60	3	60
3	sari	50	3	70
3	kirmizi	40	3	80
3	bordo	30	3	90
4	yesil	60	3	60
4	sari	50	3	70
4	kirmizi	40	3	80
4	bordo	30	3	90
5	yesil	60	3	60
5	sari	50	3	70
5	kirmizi	40	3	80
5	bordo	30	3	90
6	yesil	60	3	60
6	sari	50	3	70
6	kirmizi	40	3	80
6	bordo	30	3	90
7	yesil	60	3	60
7	sari	50	3	70
7	kirmizi	40	3	80
7	bordo	30	3	90
8	yesil	60	3	60
8	sari	50	3	70
8	kirmizi	40	3	80
8	bordo	30	3	90
9	yesil	60	3	60
9	sari	50	3	70
9	kirmizi	40	3	80
9	bordo	30	3	90
10	yesil	60	3	60
10	sari	50	3	70
10	kirmizi	40	3	80
10	bordo	30	3	90
11	yesil	60	3	60
11	sari	50	3	70
11	kirmizi	40	3	80
11	bordo	30	3	90
12	yesil	60	3	60
12	sari	50	3	70
12	kirmizi	40	3	80
12	bordo	30	3	90
13	yesil	60	3	60
13	sari	50	3	70
13	kirmizi	40	3	80
13	bordo	30	3	90
14	yesil	60	3	60
14	sari	50	3	70
14	kirmizi	40	3	80
14	bordo	30	3	90
15	yesil	60	3	60
15	sari	50	3	70
15	kirmizi	40	3	80
15	bordo	30	3	90
16	yesil	60	3	60
16	sari	50	3	70
16	kirmizi	40	3	80
16	bordo	30	3	90
17	yesil	60	3	60
17	sari	50	3	70
17	kirmizi	40	3	80
17	bordo	30	3	90
18	yesil	60	3	60
18	sari	50	3	70
18	kirmizi	40	3	80
18	bordo	30	3	90
19	yesil	60	3	60
19	sari	50	3	70
19	kirmizi	40	3	80
19	bordo	30	3	90
20	yesil	60	3	60
20	sari	50	3	70
20	kirmizi	40	3	80
20	bordo	30	3	90
21	yesil	60	3	60
21	sari	50	3	70
21	kirmizi	40	3	80
21	bordo	30	3	90
22	yesil	60	3	60
22	sari	50	3	70
22	kirmizi	40	3	80
22	bordo	30	3	90
23	yesil	60	3	60
23	sari	50	3	70
23	kirmizi	40	3	80
23	bordo	30	3	90
24	yesil	60	3	60
24	sari	50	3	70
24	kirmizi	40	3	80
24	bordo	30	3	90
25	yesil	60	3	60
25	sari	50	3	70
25	kirmizi	40	3	80
25	bordo	30	3	90
